Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.736800,-111.780200,270.000000,top
"C2","47µF/10V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",148.236800,-111.780200,270.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.736800,-111.780200,90.000000,top
"C4","47µF/10V","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",136.236800,-111.780200,90.000000,top
"C5","1µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",169.612500,-83.570000,0.000000,top
"C6","1µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",169.612500,-98.720000,0.000000,top
"D1","SK24","D_SMB_Handsoldering",159.127400,-112.135400,0.000000,top
"D2","LED green","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.152200,-119.374800,0.000000,top
"D3","LED green","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",135.302200,-119.374800,180.000000,top
"D4","SK24","D_SMB_Handsoldering",127.504400,-77.312400,270.000000,top
"D5","LED yellow","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",153.400000,-82.450000,90.000000,top
"D6","LED yellow","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",153.400000,-87.450000,270.000000,top
"J1","Power","USB_Micro-B_Molex-105017-0001",159.050000,-119.412500,0.000000,top
"Q1","BSS138","SOT-23_Handsoldering",132.400000,-81.350000,270.000000,top
"Q2","BSS138","SOT-23_Handsoldering",137.400000,-81.350000,270.000000,top
"Q3","AO3400A","SOT-23_Handsoldering",142.400000,-78.100000,270.000000,top
"Q4","S8050","SOT-23_Handsoldering",163.040400,-79.162400,180.000000,top
"Q5","S8050","SOT-23_Handsoldering",163.040400,-94.021400,180.000000,top
"R1","4.7kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.145200,-115.945800,180.000000,top
"R2","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.400000,-86.350000,0.000000,top
"R3","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",137.400000,-86.350000,0.000000,top
"R4","1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.353000,-116.047400,0.000000,top
"R5","20kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",165.121800,-104.684200,90.000000,top
"R6","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.400000,-76.350000,180.000000,top
"R7","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",137.400000,-76.350000,0.000000,top
"R8","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",142.400000,-86.350000,0.000000,top
"R9","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.500000,-74.026000,90.000000,top
"R10","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.500000,-89.026000,90.000000,top
"R11","100Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",142.400000,-83.100000,180.000000,top
"R12","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",164.750000,-84.026000,90.000000,top
"R13","10kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.500000,-99.026000,270.000000,top
"R14","470Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.400000,-79.850000,180.000000,top
"R15","470Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.400000,-83.100000,180.000000,top
"R16","1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.400000,-76.600000,0.000000,top
"R17","1kΩ","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.400000,-86.350000,0.000000,top
"SW2","Reset","SW_Push_1P1T_NO_6x6mm_H9.5mm",169.667400,-77.167000,270.000000,top
"SW3","Boot","SW_Push_1P1T_NO_6x6mm_H9.5mm",169.653600,-92.167680,270.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",142.236800,-114.305200,270.000000,top
"U2","ESP32-WROOM-32","ESP32-WROOM-32",140.805000,-98.650000,0.000000,top
